	n_genes_by_counts	total_counts	n_counts	Patient	Tissue	Sequencing
Hou_blood_WES__BGI_LC-6	146	160.0	160.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-60	200	221.0	221.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-61	171	186.0	186.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-63	139	151.0	151.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-66	178	196.0	196.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-69	160	171.0	171.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-7	76	80.0	80.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-70	149	159.0	159.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-71	75	78.0	78.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-72	77	83.0	83.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-73	69	71.0	71.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-74	176	188.0	188.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-75	62	70.0	70.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-76	89	95.0	95.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-77	90	97.0	97.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-78	93	102.0	102.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-79	196	213.0	212.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-8	120	127.0	127.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-80	158	169.0	169.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-81	60	62.0	62.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-82	152	166.0	166.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-83	47	52.0	52.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-86	165	176.0	175.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-87	134	146.0	146.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-88	108	121.0	121.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-89	119	129.0	129.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-9	108	120.0	120.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-90	121	133.0	133.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-91	111	126.0	126.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-93	169	183.0	183.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-94	123	136.0	136.0	Hou	blood	WES
Hou_blood_WES__BGI_LC-97	157	173.0	173.0	Hou	blood	WES
Li_bladder_WES__BGI_BC-1	40	42.0	41.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-13	36	39.0	38.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-14	30	33.0	33.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-15	39	41.0	41.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-18	38	42.0	41.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-2	32	32.0	31.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-21	42	46.0	46.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-22	34	39.0	39.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-25	35	39.0	39.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-34	30	31.0	30.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-35	34	38.0	38.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-36	41	44.0	44.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-37	32	33.0	32.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-38	33	34.0	34.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-39	36	37.0	37.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-41	34	35.0	35.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-42	33	35.0	33.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-43	30	32.0	32.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-44	36	39.0	38.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-45	40	42.0	41.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-46	42	43.0	41.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-48	51	53.0	53.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-49	35	37.0	37.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-50	30	32.0	30.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-51	35	38.0	38.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-52	41	42.0	40.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-53	28	31.0	31.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-54	35	36.0	36.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-55	40	44.0	44.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-56	32	35.0	35.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-6	29	31.0	30.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-8	27	30.0	30.0	Li	bladder	WES
Li_bladder_WES__BGI_BC-9	30	32.0	32.0	Li	bladder	WES
Wang-ER+_breast_WES__c1	45	45.0	44.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c10	41	42.0	42.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c11	32	32.0	32.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c13	39	39.0	39.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c14	43	43.0	43.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c15	39	39.0	37.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c16	35	35.0	33.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c17	36	36.0	36.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c18	31	32.0	32.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c19	42	43.0	43.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c2	45	46.0	46.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c20	32	32.0	32.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c21	34	34.0	34.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c22	39	40.0	40.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c23	36	36.0	36.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c24	38	38.0	38.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c25	40	41.0	41.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c26	38	38.0	37.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c27	35	35.0	35.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c28	39	39.0	38.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c29	39	40.0	40.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c3	42	43.0	42.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c30	45	46.0	46.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c31	39	40.0	40.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c32	30	30.0	30.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c34	36	37.0	37.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c35	46	47.0	45.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c36	41	42.0	42.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c38	35	35.0	35.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c39	32	33.0	33.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c4	33	33.0	33.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c40	37	37.0	37.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c41	41	41.0	41.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c42	32	33.0	32.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c43	39	40.0	39.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c47	33	34.0	34.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c5	37	38.0	38.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c6	48	49.0	48.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c7	43	44.0	44.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c8	46	47.0	47.0	Wang-ER+	breast	WES
Wang-ER+_breast_WES__c9	39	39.0	39.0	Wang-ER+	breast	WES
Wang-TNBC_breast_WES__a1	229	234.0	227.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a2	232	235.0	226.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a3	243	248.0	240.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a4	222	226.0	218.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a5	222	226.0	223.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a6	228	231.0	221.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a7	223	228.0	222.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__a8	228	233.0	231.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h2	200	205.0	204.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h3	203	207.0	206.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h4	153	156.0	154.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h5	197	199.0	199.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h6	208	210.0	207.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h7	179	182.0	180.0	Wang-TNBC	breast	WES
Wang-TNBC_breast_WES__h8	205	209.0	207.0	Wang-TNBC	breast	WES
Wu-CRC0827_colon_WES__1C-1	33	33.0	33.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1C-2	55	56.0	56.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1C-9	58	59.0	59.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-14	58	58.0	58.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-20	44	44.0	44.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-22	51	52.0	52.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-24	65	66.0	66.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-26	74	74.0	74.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-33	67	67.0	67.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-40	65	65.0	65.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-43	38	38.0	38.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-44	66	67.0	67.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-45	57	60.0	59.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-46	78	81.0	81.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-47	57	58.0	57.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__1CA-48	50	51.0	51.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-1	60	61.0	61.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-13	32	32.0	32.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-20	56	56.0	56.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-22	51	51.0	51.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-23	46	48.0	48.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-25	74	76.0	76.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-26	65	67.0	67.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-28	52	52.0	52.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-31	40	40.0	40.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-33	63	64.0	64.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-34	59	59.0	59.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-37	71	73.0	73.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-46	66	67.0	67.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-49	81	82.0	82.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-5	59	60.0	59.0	Wu-CRC0827	colon	WES
Wu-CRC0827_colon_WES__2CA-51	44	44.0	44.0	Wu-CRC0827	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C1	37	37.0	37.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C11	55	55.0	53.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C4	46	46.0	43.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C5	45	45.0	45.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C6	39	39.0	38.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C7	49	49.0	48.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-C9	33	33.0	33.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-16	47	47.0	45.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-22	53	53.0	53.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-23	46	46.0	45.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-28	56	56.0	56.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-31	30	30.0	30.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-33	58	58.0	54.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-34	45	45.0	44.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-35	45	45.0	45.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-40	51	51.0	48.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-41	56	56.0	54.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-42	43	43.0	43.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-43	52	52.0	50.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-47	51	51.0	51.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-48	40	40.0	40.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-60	54	54.0	54.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-61	43	43.0	41.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-63	38	38.0	36.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-64	55	55.0	55.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-65	46	46.0	46.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-66	44	44.0	42.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-70	37	37.0	37.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-72	40	40.0	39.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-76	42	42.0	42.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-77	48	48.0	46.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-81	47	47.0	45.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-83	46	46.0	46.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-92	59	59.0	58.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-93	43	43.0	43.0	Wu-CRC0907	colon	WES
Wu-CRC0907_colon_WES__CRC0907-CA-94	37	37.0	36.0	Wu-CRC0907	colon	WES
Xu_kidney_WES__BGI_RC-1	73	73.0	73.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-10	59	59.0	59.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-11	42	42.0	42.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-12	43	43.0	43.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-13	58	58.0	57.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-14	44	44.0	44.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-16	65	65.0	65.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-18	56	56.0	55.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-19	47	47.0	46.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-2	61	61.0	61.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-3	48	48.0	48.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-4	61	61.0	60.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-5	57	57.0	57.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-6	74	74.0	73.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-7	68	68.0	68.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-8	68	68.0	68.0	Xu	kidney	WES
Xu_kidney_WES__BGI_RC-9	33	33.0	33.0	Xu	kidney	WES
